nct_id,start_year,duration,num_facilities,has_us_facility,minimum_age_years,maximum_age_years,is_cancer,enrolled,droprate,num_dropped
NCT01644500,2012,25.0,30.0,False,18.0,,False,737,0.08276797829036635,61.0
NCT01033825,2009,4.0,6.0,True,12.0,,False,310,0.03870967741935484,12.0
NCT00470366,2007,112.0,2.0,True,18.0,120.0,False,60,0.06666666666666667,4.0
NCT00390546,2006,46.0,14.0,True,,0.3333333333333333,False,72,0.1527777777777778,11.0
NCT01514448,2012,47.0,13.0,False,18.0,,True,29,0.6896551724137931,20.0
NCT00661427,2008,57.0,17.0,True,18.0,,False,61,0.19672131147540983,12.0
NCT00260065,2005,37.0,21.0,True,18.0,,False,99,0.9393939393939394,93.0
NCT01494532,2011,32.0,52.0,True,30.0,,False,352,0.16477272727272727,58.0
NCT00556894,2007,13.0,26.0,False,18.0,75.0,False,230,0.23478260869565218,54.0
NCT01431508,2011,22.0,,,20.0,,False,15,0.13333333333333333,2.0
NCT01744483,2012,34.0,1.0,True,18.0,,False,117,0.6752136752136753,79.0
NCT01250002,2010,10.0,1.0,True,18.0,64.0,False,70,0.1,7.0
NCT00835731,2009,35.0,1.0,True,18.0,,False,125,0.024,3.0
NCT01190891,2010,34.0,1.0,True,18.0,,False,104,0.057692307692307696,6.0
NCT02036515,2014,27.0,,,18.0,,False,464,0.0668103448275862,31.0
NCT02287623,2014,14.0,,,18.0,,False,60,0.016666666666666666,1.0
NCT01378117,2011,9.0,2.0,True,18.0,80.0,False,90,0.08888888888888889,8.0
NCT01383954,2011,14.0,1.0,True,20.0,75.0,False,52,0.2692307692307692,14.0
NCT00969436,2009,15.0,6.0,False,0.75,0.8333333333333334,False,450,0.12666666666666668,57.0
NCT00486226,2007,67.0,1.0,False,18.0,80.0,False,109,0.11926605504587157,13.0
NCT00654745,2008,11.0,21.0,True,18.0,80.0,False,207,0.20772946859903382,43.0
NCT01698814,2012,3.0,,,2.0,,False,518,0.009652509652509652,5.0
NCT00699153,2008,11.0,1.0,True,18.0,,False,400,0.0125,5.0
NCT00248495,2005,71.0,1.0,True,18.0,120.0,True,38,0.02631578947368421,1.0
NCT01410240,2011,16.0,12.0,True,18.0,80.0,False,137,0.029197080291970802,4.0
NCT01316055,2011,7.0,2.0,True,18.0,75.0,False,42,0.023809523809523808,1.0
NCT00411554,2006,7.0,,,20.0,,False,319,0.05329153605015674,17.0
NCT00795886,2008,55.0,1.0,True,,21.0,True,63,0.15873015873015872,10.0
NCT01469052,2011,20.0,3.0,True,18.0,,True,36,0.9722222222222222,35.0
NCT01712204,2012,8.0,1.0,False,20.0,80.0,False,82,0.15853658536585366,13.0
NCT00436007,2007,16.0,3.0,False,0.11538461538461539,0.19230769230769232,False,511,0.1095890410958904,56.0
NCT01037088,2009,35.0,1.0,True,18.0,70.0,False,44,0.06818181818181818,3.0
NCT01178125,2010,29.0,62.0,True,18.0,40.0,False,2858,0.41217634709587125,1178.0
NCT00256724,2005,31.0,1.0,True,18.0,85.0,False,47,0.2765957446808511,13.0
NCT00612534,2008,7.0,1.0,True,45.0,80.0,False,94,0.574468085106383,54.0
NCT01006291,2009,10.0,72.0,False,18.0,,False,687,0.11208151382823872,77.0
NCT00724867,2008,80.0,51.0,True,18.0,,False,268,0.47761194029850745,128.0
NCT00926328,2008,6.0,1.0,False,18.0,70.0,False,120,0.21666666666666667,26.0
NCT02282527,2014,15.0,6.0,True,18.0,70.0,False,32,0.0625,2.0
